"Data","Brasil - Todas","Brasil - Todas"
"2012-06",5.99,5.99
"2012-07",6.06,6.06
"2012-08",6.09,6.09
"2012-09",6.08,6.08
"2012-10",6.12,6.12
"2012-11",6.09,6.09
"2012-12",5.99,5.99
"2013-01",6.06,6.06
"2013-02",6.02,6.02
"2013-03",5.95,5.95
"2013-04",5.92,5.92
"2013-05",5.91,5.91
"2013-06",5.77,5.77
"2013-07",5.86,5.86
"2013-08",5.77,5.77
"2013-09",5.75,5.75
"2013-10",5.74,5.74
"2013-11",5.75,5.75
"2013-12",5.75,5.75
"2014-01",5.81,5.81
"2014-02",5.68,5.68
"2014-03",5.66,5.66
"2014-04",5.64,5.64
"2014-05",5.67,5.67
"2014-06",5.61,5.61
"2014-07",5.68,5.68
"2014-08",5.72,5.72
"2014-09",5.61,5.61
"2014-10",5.66,5.66
"2014-11",5.59,5.59
"2014-12",5.49,5.49
"2015-01",5.57,5.57
"2015-02",5.67,5.67
"2015-03",5.6,5.6
"2015-04",5.67,5.67
"2015-05",5.82,5.82
"2015-06",5.8,5.8
"2015-07",5.86,5.86
"2015-08",6,6
"2015-09",6.06,6.06
"2015-10",6.14,6.14
"2015-11",6.28,6.28
"2015-12",6.45,6.45
"2016-01",6.58,6.58
"2016-02",6.84,6.84
"2016-03",6.93,6.93
"2016-04",7.17,7.17
"2016-05",7.34,7.34
"2016-06",7.62,7.62
"2016-07",7.84,7.84
"2016-08",7.9,7.9
"2016-09",7.97,7.97
"2016-10",8.15,8.15
"2016-11",8.1,8.1
"2016-12",8.16,8.16
"2017-01",8.22,8.22
"2017-02",8.32,8.32
"2017-03",8.19,8.19
"2017-04",8.3,8.3
"2017-05",8.47,8.47
"2017-06",8.19,8.19
"2017-07",8.26,8.26
"2017-08",8.25,8.25
"2017-09",8.25,8.25
"2017-10",8.24,8.24
"2017-11",8.11,8.11
"2017-12",7.95,7.95
"2018-01",8.06,8.06
"2018-02",8.02,8.02
"2018-03",7.87,7.87
"2018-04",7.83,7.83
"2018-05",7.75,7.75
"2018-06",7.49,7.49
"2018-07",7.53,7.53
"2018-08",7.5,7.5
"2018-09",7.45,7.45
"2018-10",7.5,7.5
"2018-11",7.41,7.41
"2018-12",7.32,7.32
"2019-01",7.5,7.5
"2019-02",7.47,7.47
"2019-03",7.51,7.51
"2019-04",7.53,7.53
"2019-05",7.56,7.56
"2019-06",7.39,7.39
"2019-07",7.38,7.38
"2019-08",7.39,7.39
"2019-09",7.39,7.39
"2019-10",7.33,7.33
"2019-11",7.26,7.26
"2019-12",7.34,7.34
"2020-01",7.38,7.38
"2020-02",7.33,7.33
"2020-03",7.44,7.44
"2020-04",7.62,7.62
"2020-05",7.7,7.7
"2020-06",7.59,7.59
"2020-07",7.64,7.64
"2020-08",7.42,7.42
"2020-09",7.17,7.17
"2020-10",7.01,7.01
"2020-11",6.97,6.97
"2020-12",6.83,6.83
"2021-01",6.82,6.82
"2021-02",6.78,6.78
"2021-03",6.69,6.69
"2021-04",6.61,6.61
"2021-05",6.54,6.54
"2021-06",6.47,6.47
"2021-07",6.33,6.33
"2021-08",6.31,6.31
"2021-09",6.23,6.23
"2021-10",6.2,6.2
"2021-11",6.21,6.21
"2021-12",6.19,6.19
"2022-01",6.34,6.34
"2022-02",6.39,6.39
"2022-03",6.54,6.54
"2022-04",6.54,6.54
"2022-05",6.61,6.61
"2022-06",6.58,6.58
"2022-07",6.74,6.74
"2022-08",6.75,6.75
"2022-09",6.76,6.76
"2022-10",6.89,6.89
"2022-11",6.89,6.89
"2022-12",7.28,7.28
"2023-01",7.52,7.52
"2023-02",7.66,7.66
"2023-03",7.53,7.53
"2023-04",7.63,7.63
"2023-05",7.72,7.72
"2023-06",7.61,7.61
"2023-07",7.7,7.7
"2023-08",7.63,7.63
"2023-09",7.56,7.56
"2023-10",7.56,7.56
"2023-11",7.42,7.42
"2023-12",7.26,7.26
"2024-01",7.3,7.3
"2024-02",7.29,7.29
"2024-03",7.19,7.19
"2024-04",7.27,7.27
"2024-05",7.26,7.26
"2024-06",7.13,7.13
"2024-07",7.02,7.02
"2024-08",6.91,6.91
"2024-09",6.84,6.84
"2024-10",6.76,6.76
"2024-11",6.66,6.66
"2024-12",6.58,6.58
"2025-01",8.22,8.22
"2025-02",7.04,7.04
"2025-03",8.21,8.21
"2025-04",7.23,7.23
"2025-05",7.22,7.22
"2025-06",7.45,7.45
