"Data","Brasil - Todas","Brasil - Todas","Brasil - PF - Todas","Brasil - PJ - Todas","Brasil - PF - Cartão de crédito - PF - Todas","Brasil - PF - Empréstimo com consignação em folha - PF - Todas","Brasil - PF - Empréstimo sem consignação em folha - PF - Todas","Brasil - PF - Habitacional - PF - Todas","Brasil - PF - Outros créditos - PF - Todas","Brasil - PF - Rural e agroindustrial - PF - Todas","Brasil - PF - Veículos - PF - Todas"
"2012-06",5.99,5.99,8.37,4.01,12.11,4.04,12.62,5.34,20.5,5.96,8.33
"2012-07",6.06,6.06,8.43,4.07,11.89,4.03,13.19,5.36,20.19,6.05,8.48
"2012-08",6.09,6.09,8.46,4.09,11.84,4.07,13.41,5.44,20.7,5.9,8.41
"2012-09",6.08,6.08,8.46,4.1,11.89,4.05,13.17,5.45,20.86,5.81,8.57
"2012-10",6.12,6.12,8.42,4.2,11.55,4.14,13.94,5.28,20.32,5.73,8.57
"2012-11",6.09,6.09,8.33,4.21,11.26,4.18,13.91,5.32,20.14,5.58,8.38
"2012-12",5.99,5.99,8.25,4.12,10.81,4.22,14.15,5.27,20.71,5.53,8.13
"2013-01",6.06,6.06,8.21,4.23,10.66,4.25,13.89,5.27,20.43,5.55,8.15
"2013-02",6.02,6.02,8.06,4.3,10.9,3.59,13.47,5.37,20.07,5.57,8.19
"2013-03",5.95,5.95,8.21,4.04,10.9,4.44,13.22,5.52,20.35,5.63,8.09
"2013-04",5.92,5.92,8.09,4.07,10.81,4.36,12.96,5.52,19.75,5.48,8.01
"2013-05",5.91,5.91,7.96,4.17,10.71,4.22,12.76,5.49,19.71,5.21,7.94
"2013-06",5.77,5.77,7.8,4.06,10.68,4.01,12.3,5.55,19.44,5.09,7.78
"2013-07",5.86,5.86,7.93,4.09,10.39,4.04,12.32,5.64,20.2,6.17,7.67
"2013-08",5.77,5.77,7.83,4.01,10.34,4.02,12.15,5.73,19.95,6.07,7.42
"2013-09",5.75,5.75,7.76,4.02,10.08,4.04,12.1,5.75,19.67,6,7.25
"2013-10",5.74,5.74,7.7,4.05,9.96,4.05,12.07,5.72,19.63,5.96,7.03
"2013-11",5.75,5.75,7.65,4.13,9.75,4.22,12.05,5.69,19.77,5.75,6.89
"2013-12",5.75,5.75,7.66,4.12,9.26,4.36,12.49,5.63,20.19,5.75,6.83
"2014-01",5.81,5.81,7.7,4.17,9.29,4.61,12.46,5.66,20.04,5.72,6.78
"2014-02",5.68,5.68,7.6,4.01,9.48,4.49,12.23,5.62,19.75,5.66,6.67
"2014-03",5.66,5.66,7.56,4.02,9.49,4.48,12.45,5.44,19.58,5.76,6.58
"2014-04",5.64,5.64,7.5,4.02,9.61,4.35,12.38,5.5,19.29,5.73,6.46
"2014-05",5.67,5.67,7.46,4.11,9.78,4.36,12.6,5.32,19.63,5.4,6.46
"2014-06",5.61,5.61,7.35,4.1,9.76,4.21,12.64,5.21,19.43,5.16,6.38
"2014-07",5.68,5.68,7.41,4.16,9.97,4.22,12.92,5.27,19.87,5.21,6.24
"2014-08",5.72,5.72,7.37,4.27,10.05,4.22,12.92,5.11,20.65,5.14,6.07
"2014-09",5.61,5.61,7.2,4.21,9.85,4.2,12.86,5.04,19.97,5.1,5.82
"2014-10",5.66,5.66,7.19,4.3,9.68,4.14,13.18,5.13,20.1,5.17,5.6
"2014-11",5.59,5.59,7.11,4.25,9.55,4.04,13.03,5.09,20.12,5.17,5.43
"2014-12",5.49,5.49,6.88,4.28,9.03,3.92,13.08,4.81,19.86,5.17,5.24
"2015-01",5.57,5.57,6.94,4.34,9.26,3.77,13.03,4.92,19.94,5.38,5.26
"2015-02",5.67,5.67,7.07,4.44,9.64,3.82,13.43,5,20.07,5.6,5.28
"2015-03",5.6,5.6,6.92,4.43,9.36,3.74,12.89,4.89,19.7,5.65,5.22
"2015-04",5.67,5.67,6.9,4.59,9.61,3.72,12.9,4.62,20.19,5.8,5.24
"2015-05",5.82,5.82,7.03,4.75,9.76,3.76,13.13,4.65,20.65,6.05,5.32
"2015-06",5.8,5.8,6.74,4.97,9.65,3.69,11.81,4.41,20.51,5.5,5.25
"2015-07",5.86,5.86,6.73,5.08,9.95,3.17,12.03,4.41,21.2,5.54,5.2
"2015-08",6,6,6.84,5.25,10.22,3.19,12.46,4.36,21.76,5.6,5.27
"2015-09",6.06,6.06,6.92,5.29,10.62,3.18,13.13,4.33,21.92,5.59,5.31
"2015-10",6.14,6.14,7,5.37,10.71,3.2,13,4.45,22.01,5.73,5.42
"2015-11",6.28,6.28,7.15,5.51,10.52,3.2,14.08,4.54,22.43,5.82,5.51
"2015-12",6.45,6.45,7.27,5.73,10.45,3.22,14.74,4.56,23.63,5.89,5.59
"2016-01",6.58,6.58,7.37,5.87,10.02,3.23,14.79,4.68,24.1,6.11,5.7
"2016-02",6.84,6.84,7.49,6.24,10.23,3.24,15.03,4.85,24.12,6.2,5.84
"2016-03",6.93,6.93,7.46,6.44,10.33,3.22,14.54,4.87,24.27,6.22,5.84
"2016-04",7.17,7.17,7.63,6.75,10.59,3.19,15.28,5.04,24.99,6.16,5.94
"2016-05",7.34,7.34,7.67,7.02,10.6,3.27,14.94,5.15,25.12,6.04,6.09
