"Data","Brasil - Todas","Brasil - Todas","Brasil - PF - Todas","Brasil - PJ - Todas"
"2012-06",5.99,5.99,8.37,4.01
"2012-07",6.06,6.06,8.43,4.07
"2012-08",6.09,6.09,8.46,4.09
"2012-09",6.08,6.08,8.46,4.1
"2012-10",6.12,6.12,8.42,4.2
"2012-11",6.09,6.09,8.33,4.21
"2012-12",5.99,5.99,8.25,4.12
"2013-01",6.06,6.06,8.21,4.23
"2013-02",6.02,6.02,8.06,4.3
"2013-03",5.95,5.95,8.21,4.04
"2013-04",5.92,5.92,8.09,4.07
"2013-05",5.91,5.91,7.96,4.17
"2013-06",5.77,5.77,7.8,4.06
"2013-07",5.86,5.86,7.93,4.09
"2013-08",5.77,5.77,7.83,4.01
"2013-09",5.75,5.75,7.76,4.02
"2013-10",5.74,5.74,7.7,4.05
"2013-11",5.75,5.75,7.65,4.13
"2013-12",5.75,5.75,7.66,4.12
"2014-01",5.81,5.81,7.7,4.17
"2014-02",5.68,5.68,7.6,4.01
"2014-03",5.66,5.66,7.56,4.02
"2014-04",5.64,5.64,7.5,4.02
"2014-05",5.67,5.67,7.46,4.11
"2014-06",5.61,5.61,7.35,4.1
"2014-07",5.68,5.68,7.41,4.16
"2014-08",5.72,5.72,7.37,4.27
"2014-09",5.61,5.61,7.2,4.21
"2014-10",5.66,5.66,7.19,4.3
"2014-11",5.59,5.59,7.11,4.25
"2014-12",5.49,5.49,6.88,4.28
"2015-01",5.57,5.57,6.94,4.34
"2015-02",5.67,5.67,7.07,4.44
"2015-03",5.6,5.6,6.92,4.43
"2015-04",5.67,5.67,6.9,4.59
"2015-05",5.82,5.82,7.03,4.75
"2015-06",5.8,5.8,6.74,4.97
"2015-07",5.86,5.86,6.73,5.08
"2015-08",6,6,6.84,5.25
"2015-09",6.06,6.06,6.92,5.29
"2015-10",6.14,6.14,7,5.37
"2015-11",6.28,6.28,7.15,5.51
"2015-12",6.45,6.45,7.27,5.73
"2016-01",6.58,6.58,7.37,5.87
"2016-02",6.84,6.84,7.49,6.24
"2016-03",6.93,6.93,7.46,6.44
"2016-04",7.17,7.17,7.63,6.75
"2016-05",7.34,7.34,7.67,7.02
"2016-06",7.62,7.62,7.62,7.61
"2016-07",7.84,7.84,7.75,7.93
"2016-08",7.9,7.9,7.76,8.03
"2016-09",7.97,7.97,7.83,8.12
"2016-10",8.15,8.15,7.98,8.32
"2016-11",8.1,8.1,8.04,8.17
"2016-12",8.16,8.16,7.68,8.64
"2017-01",8.22,8.22,7.68,8.78
"2017-02",8.32,8.32,7.67,9
"2017-03",8.19,8.19,7.6,8.81
"2017-04",8.3,8.3,7.61,9.03
"2017-05",8.47,8.47,7.57,9.44
"2017-06",8.19,8.19,7.37,9.07
"2017-07",8.26,8.26,7.35,9.28
"2017-08",8.25,8.25,7.25,9.4
"2017-09",8.25,8.25,7.18,9.47
"2017-10",8.24,8.24,7.13,9.54
"2017-11",8.11,8.11,6.97,9.46
"2017-12",7.95,7.95,6.79,9.33
"2018-01",8.06,8.06,6.88,9.48
"2018-02",8.02,8.02,6.85,9.44
"2018-03",7.87,7.87,6.79,9.19
"2018-04",7.83,7.83,6.75,9.16
"2018-05",7.75,7.75,6.72,9.02
"2018-06",7.49,7.49,6.51,8.69
"2018-07",7.53,7.53,6.49,8.82
"2018-08",7.5,7.5,6.42,8.84
"2018-09",7.45,7.45,6.41,8.76
"2018-10",7.5,7.5,6.41,8.9
"2018-11",7.41,7.41,6.32,8.81
"2018-12",7.32,7.32,6.24,8.7
"2019-01",7.5,7.5,6.35,9.01
"2019-02",7.47,7.47,6.34,8.97
"2019-03",7.51,7.51,6.39,8.98
"2019-04",7.53,7.53,6.41,9.05
"2019-05",7.56,7.56,6.47,9.03
"2019-06",7.39,7.39,6.43,8.69
"2019-07",7.38,7.38,6.51,8.6
"2019-08",7.39,7.39,6.56,8.55
"2019-09",7.39,7.39,6.57,8.54
"2019-10",7.33,7.33,6.5,8.53
"2019-11",7.26,7.26,6.49,8.35
"2019-12",7.34,7.34,6.57,8.45
"2020-01",7.38,7.38,6.65,8.45
"2020-02",7.33,7.33,6.7,8.26
"2020-03",7.44,7.44,6.94,8.14
"2020-04",7.62,7.62,7.3,8.04
"2020-05",7.7,7.7,7.5,7.97
"2020-06",7.59,7.59,7.41,7.83
"2020-07",7.64,7.64,7.42,7.92
"2020-08",7.42,7.42,7.2,7.71
"2020-09",7.17,7.17,6.98,7.42
"2020-10",7.01,7.01,6.76,7.34
"2020-11",6.97,6.97,6.61,7.44
"2020-12",6.83,6.83,6.48,7.29
"2021-01",6.82,6.82,6.48,7.28
"2021-02",6.78,6.78,6.42,7.25
"2021-03",6.69,6.69,6.4,7.07
"2021-04",6.61,6.61,6.28,7.04
"2021-05",6.54,6.54,6.2,7.01
"2021-06",6.47,6.47,6.1,6.97
"2021-07",6.33,6.33,6.12,6.62
"2021-08",6.31,6.31,6.16,6.52
"2021-09",6.23,6.23,6.13,6.37
"2021-10",6.2,6.2,6.09,6.35
"2021-11",6.21,6.21,6.11,6.35
"2021-12",6.19,6.19,6.17,6.21
"2022-01",6.34,6.34,6.36,6.3
"2022-02",6.39,6.39,6.49,6.26
"2022-03",6.54,6.54,6.56,6.5
"2022-04",6.54,6.54,6.74,6.25
"2022-05",6.61,6.61,6.9,6.18
"2022-06",6.58,6.58,6.9,6.11
"2022-07",6.74,6.74,7.08,6.23
