"Data","Brasil - Todas","Brasil - Todas","Brasil - PF - Todas","Brasil - PJ - Todas","Brasil - PF - Cartão de crédito - PF - Todas","Brasil - PF - Empréstimo com consignação em folha - PF - Todas","Brasil - PF - Empréstimo sem consignação em folha - PF - Todas","Brasil - PF - Habitacional - PF - Todas","Brasil - PF - Outros créditos - PF - Todas","Brasil - PF - Rural e agroindustrial - PF - Todas","Brasil - PF - Veículos - PF - Todas"
"2012-06",2111737108517.38,2111737108517.38,957469781513.01,1154267327004.37,94723983246.96,170693583127.82,84891546179.41,211041813719.18,76688730164.8,108482808391.74,210947316683.1
"2012-07",2128152067673.8,2128152067673.8,969191679628.35,1158960388045.45,97660017945.43,173659874303.93,84066873969.96,217011168274.55,79843417553.71,106720802986.22,210229524594.55
"2012-08",2155896677152.59,2155896677152.59,987096544935.78,1168800132216.81,98384717895.41,176656661878.46,84739530141.14,224098956125.32,81224696637.14,110272146937.22,211719835321.09
"2012-09",2180580262698.75,2180580262698.75,992574296127.61,1188005966571.14,97090854127.97,178295725941.49,86132567017.21,227134457421.39,80955449599.85,112989189963.68,209976052056.02
"2012-10",2211479471972.76,2211479471972.76,1009067147000.08,1202412324972.68,100015450563.24,181315041308.78,85745871244.48,233309370901.36,83914904104.43,115394797553,209371711324.79
"2012-11",2243871443366.7,2243871443366.7,1024010789631.76,1219860653734.94,102428387090.56,183688385522.66,85845009230.24,238868891677.7,85762124582.15,118735448841.36,208682542687.09
"2012-12",2298946648400.42,2298946648400.42,1042866611681.58,1256080036718.84,109325072464.55,184977794441.8,84683317113.65,245723081146.13,85467359217.14,124104432488.05,208585554810.26
"2013-01",2297393565588.82,2297393565588.82,1053883732536.58,1243509833052.24,109433377196.66,187993180816.59,85203898017.17,251218983231.89,87906910251.92,124705538033.93,207421844988.42
"2013-02",2314440660025.89,2314440660025.89,1059349148468.07,1255091511557.82,105342257284.9,191047582288.45,85279763963.08,256155962558.31,89569038103.35,126345175986.41,205609368283.57
"2013-03",2346952395081.88,2346952395081.88,1072275344655.91,1274677050425.97,105162054032.91,194197315815.79,85983540229.72,263142267303.35,89640021309.12,129215126076.51,204935019888.51
"2013-04",2370471625684.07,2370471625684.07,1088554411726.51,1281917213957.56,105526155864.22,198052840256.38,86804310296.39,270375249303.76,92790609184.01,131317960168.57,203687286653.18
"2013-05",2406907354534.73,2406907354534.73,1107335160331.74,1299572194202.99,108788546995.79,201772685135.77,87408823556.58,279361896977.51,93144781999.9,134231918055.89,202626507610.3
"2013-06",2453085351863.12,2453085351863.12,1123205758680.64,1329879593182.48,107589259103.29,204534090574.39,87844405673.91,287870135138.28,94226962131.65,139283340664.25,201857565394.87
"2013-07",2464904936081.62,2464904936081.62,1136338962759.86,1328565973321.76,112810761024.43,207757067061.2,87807168989.98,296008136192.49,90897088880.36,137622525492.96,203436215118.44
"2013-08",2493712596877.17,2493712596877.17,1150396846098.75,1343315750778.42,113440761260.3,210271250282.7,88552079854.17,304009951083.2,91174239406.93,141539698698.71,201408865512.74
"2013-09",2519134229458.36,2519134229458.36,1164426302393.74,1354707927064.62,115447980280.95,212166685830.12,88992113928.01,308835423346.21,93365982829.03,145089235842.82,200528880336.6
"2013-10",2536224877515.26,2536224877515.26,1176106446285.75,1360118431229.51,117769359751.83,214412095558.6,89805401394.29,311815374141.63,94324901470,147801482099.06,200177831870.34
"2013-11",2579533701787.85,2579533701787.85,1192354642336.62,1387179059451.23,118466765894.69,216389182219.94,91181004594.21,319508574162.05,95497568686.87,151467057310.58,199844489468.28
"2013-12",2643797012503.18,2643797012503.18,1215274071624.28,1428522940878.9,127814199411.21,217626939586.85,89005562756.26,326951123935.46,97186212106.4,157500313940.45,199189719887.65
"2014-01",2646625556025.77,2646625556025.77,1227778884009.12,1418846672016.65,127258035894.2,219902192245.18,89402557389.33,332974127542.5,99234867077.01,160137199337.82,198869904523.08
"2014-02",2667365864479.73,2667365864479.73,1237267371844.01,1430098492635.72,123129762136.04,223491935389.58,89834018551.53,339769611334.45,100457037748.36,162122797259.5,198462209424.55
"2014-03",2689388345119.39,2689388345119.39,1245068068712.64,1444320276406.75,125060356480.12,221491232374.6,90241868945.9,345867466946.18,102025962733.37,164513733285.64,195867447946.83
"2014-04",2719751357262.31,2719751357262.31,1262049329853.65,1457702027408.66,124614441931.1,227832323390.66,91212884585.24,352656035238.43,103102194130.07,167959225668.64,194672224909.51
"2014-05",2748582124680.89,2748582124680.89,1278876175006.44,1469705949674.45,127101501913.64,230832655368.21,91915935213.5,361127406808.66,103886477499.29,170715278379.47,193296919823.67
"2014-06",2779466622800.55,2779466622800.55,1293771347084.07,1485695275716.48,127693879017.66,233818199747.93,90560555054.24,368976277132.17,107622151066.81,173760023647.44,191340261417.82
"2014-07",2785550290803.81,2785550290803.81,1301738494765.49,1483811796038.32,128581166139.48,236659022528.06,89997801288.79,377222083359.05,107567511288.84,171764399774.56,189946510386.71
"2014-08",2814397101996.21,2814397101996.21,1317302646311.66,1497094455684.55,129247248052.39,238269585568.22,91037045204.67,387818730710.34,106166623198.71,175792358046.26,188971055531.07
"2014-09",2846165123076.65,2846165123076.65,1328165370454.22,1517999752622.43,131325610121.53,238974759016.14,91942701850.21,393692976268.02,104322090967.85,180096441542,187810790688.47
"2014-10",2874178658101.14,2874178658101.14,1346546170946.94,1527632487154.2,133863078777.86,243198930317.9,91528798058.34,402930775266.05,105502336818.76,182178952550.43,187343299157.6
"2014-11",2912779846484.73,2912779846484.73,1361688603557.6,1551091242927.13,135971428029.88,245220388358.61,91121389110.05,411195418566.21,105889391145.54,185171155112.57,187119433234.74
"2014-12",2972181820402.86,2972181820402.86,1386232128218.7,1585949692184.16,145337600919.62,247756030413.89,89457903546.79,419865706194.14,105719916199.15,190142847136.01,187952123809.1
"2015-01",2971722292736.73,2971722292736.73,1397119635464.09,1574602657272.64,143581874813.64,249640149751.73,90356967294.57,427841935483.91,106853438441.94,191121700596.61,187723569081.69
"2015-02",2980486973242.22,2980486973242.22,1399272232415.7,1581214740826.52,138130868631.96,252327280191.54,91134754794.8,433045558212.37,107148626661,191911765046.47,185573378877.56
"2015-03",3011357562640.97,3011357562640.97,1410976043592.87,1600381519048.1,138888111292.67,255430793258.55,91908111810.26,440488667631.04,107769135405.36,193294382844.05,183196841350.94
"2015-04",3014922007846.74,3014922007846.74,1417542845386.21,1597379162460.53,137152511298.33,257654404484.67,92687571369.88,448442503650.14,107259188265.64,193303500177.69,181043166139.86
"2015-05",3034677994483.57,3034677994483.57,1426461527893.36,1608216466590.21,138687282414.94,260102881968.23,93862043104.54,454067236551.43,107739366864.57,193070585231.55,178932131758.1
"2015-06",3050419025723.88,3050419025723.88,1434313373275.47,1616105652448.41,140305009988.45,262132770066.27,93862107482.56,459415789490.3,108099355413.03,194146020831.25,176352320003.61
"2015-07",3056906345113.68,3056906345113.68,1439478949710.44,1617427395403.24,141834754190.46,264204103941.55,93791500028.15,465306347013.33,108291479537.11,191721006449.8,174329758550.04
"2015-08",3082376984711.14,3082376984711.14,1450321853684.08,1632055131027.06,142166040583.35,266038463707.31,94380711469.35,470511703060.06,109930556965.49,195383475962.86,171910901935.66
"2015-09",3108642947125.45,3108642947125.45,1456728562014.05,1651914385111.4,140702744532.95,268161604870.04,94335192234.63,475093008563.66,111240986589.68,197346266866.59,169848758356.5
"2015-10",3103057174975.56,3103057174975.56,1460502931265.21,1642554243710.35,142798208946.5,268504283904.99,94186892487.61,479652396972.69,110565885044.97,196836484232.6,167958779675.85
"2015-11",3124843797584.8,3124843797584.8,1472630402763.6,1652213394821.2,149160869262.06,269618062781.43,94804067503.84,483331244600.18,111298590848.79,198368012661.88,166049555105.42
"2015-12",3167724092412.46,3167724092412.46,1483785223501.23,1683938868911.23,155566798203.71,270436324701.41,93551469820.87,488958695970.2,109315415144.41,202167916880.16,163788602780.47
"2016-01",3147202734159.11,3147202734159.11,1486617582840.36,1660585151318.75,151410566365.72,271779788072.06,93910127932.29,491914885690.68,112002467359.55,203375529726.19,162224217693.87
"2016-02",3136288543095.64,3136288543095.64,1489116600203.92,1647171942891.72,149595597919.85,274012650105.56,93821933647.37,494521750226.46,113242491494.1,204221867750.9,159700309059.68
"2016-03",3116961641258.9,3116961641258.9,1494119162925.27,1622842478333.63,148902555073.08,276189683209.47,94313262739.07,499017086770.18,111973623436.81,206031887604.38,157691064092.28
"2016-04",3102575701345.59,3102575701345.59,1493906525516.07,1608669175829.52,146698926016.9,277732889226.76,95715201985.94,499503720670.97,110702161897.93,207858180587.13,155695445130.44
"2016-05",3101708749042.65,3101708749042.65,1500026747508.91,1601682001533.74,151006838309.89,279038335423.97,95445269542.14,503069541412.97,111024227092.52,207019065484.3,153423470243.12
"2016-06",3110449158036.67,3110449158036.67,1526585359413,1583863798623.67,166709790824.88,282972117128.49,95783487703.18,507151238326.45,114551876910.64,207619598453.14,151797250066.22
"2016-07",3097757064568.45,3097757064568.45,1527573953934.91,1570183110633.54,167279769637.25,284159464623.51,94796572462.78,511555369438.13,113824383294.08,205458391291.32,150500003187.84
"2016-08",3097618186960.23,3097618186960.23,1536731367361.78,1560886819598.45,171862035858.19,285420512072.14,94332003922.13,516074923785.87,113877372868.64,206181976383.75,148982542471.06
"2016-09",3093640729800.07,3093640729800.07,1539925350447.74,1553715379352.33,170912488238.77,286073952029.05,93823001811.85,519715366579.15,114065042824.88,207637816998.16,147697681965.88
"2016-10",3079107519630.5,3079107519630.5,1537465916021.04,1541641603609.46,173122195362.47,286819012221.59,93140588350.67,516287769045.04,114773470051.5,207203686716.69,146119194273.08
"2016-11",3083039787319.82,3083039787319.82,1548075964768.5,1534963822551.32,178493685249.18,287384054025.55,92670608721.43,520487933886.13,114965899583.72,208423483400.69,145650299901.8
"2016-12",3080454665422.85,3080454665422.85,1557889210398.34,1522565455024.51,183527140494.79,287792792693.75,89557261752.97,526337274337.72,112285272259.49,212756129479.39,145633339380.23
"2017-01",3053938250097.78,3053938250097.78,1563050563723.89,1490887686373.89,181813487603.82,289453263773.81,89199045192.68,528916313623.96,113254214138.02,214788960854.75,145625278536.85
"2017-02",3054155398328.97,3054155398328.97,1565400959329.21,1488754438999.76,177474082958.93,291643616980.51,90177122980.25,532735753141.27,111191445923.2,216703965623.05,145474971722
"2017-03",3058914381271.63,3058914381271.63,1573508092112.62,1485406289159.01,178499503672.3,294199392503.49,90257828094.52,535060755183.2,111569421446.6,219044760989.81,144876430222.7
"2017-04",3050518427582.15,3050518427582.15,1575073557408.43,1475444870173.72,175315485876.26,295473367548.13,90341634739.68,538295463962.42,109703300455.66,221503909256.79,144440395569.49
"2017-05",3048029537090.81,3048029537090.81,1585981916724.31,1462047620366.5,180295619258.36,298638962383.59,91180980869.05,541204263701.07,109259826156.44,221125917781.47,144276346574.33
"2017-06",3054374643338.1,3054374643338.1,1592492888533.79,1461881754804.31,180058642656.17,300912933071.49,91264581110.27,545034903439.05,109239213613.04,221647638257.61,144334976386.16
"2017-07",3017883942681.72,3017883942681.72,1597684159988.71,1420199782693.01,184200257624.33,302707511639.84,91186990067.7,549140797898.28,112257526999.02,213541185449.98,144649890309.56
"2017-08",3018254400764.11,3018254400764.11,1609580310417.07,1408674090347.04,185285140218.35,305304025459.3,91744811021.11,552570044737.02,112057639386.77,216895533183.5,145723116411.02
"2017-09",3017206040652.4,3017206040652.4,1613434236213.8,1403771804438.6,183470129901.77,306545622820.91,91718882685.16,554851465098.89,111480513274.01,218809304461.85,146558317971.21
"2017-10",3018860132642.78,3018860132642.78,1625385354340.03,1393474778302.75,187275456514.5,308493736730.93,91974824495.68,556519564044.05,113181753112.17,220276774977.61,147663244465.09
"2017-11",3031476982678.04,3031476982678.04,1640129355935.25,1391347626742.79,194822983349.51,309888976553.82,92413751675.06,558825223723.71,113011461862.85,221790940181.82,149376018588.48
"2017-12",3050031314416.55,3050031314416.55,1649224184019.28,1400807130397.27,199452079574.18,311076577770.62,90312321969.56,561040843193.58,110899666899.86,225190502810.76,151252191800.72
"2018-01",3028931162783.09,3028931162783.09,1661030252798.67,1367900909984.42,202272954971.97,313003446099.05,91231163582.98,562271902968.07,113176209397.14,226159126210.27,152915449569.19
"2018-02",3024115369689.88,3024115369689.88,1660197059565.72,1363918310124.16,195190961546.07,314391186943.66,92034842822.57,564132673456.16,114024179363.76,226931480005.46,153491735428.04
"2018-03",3044200410095.67,3044200410095.67,1670793133822.42,1373407276273.25,196225683379.15,317018286246.52,93282135351.6,566743379494.25,113705717701.18,228538887926.53,155279043723.19
"2018-04",3051793715683.22,3051793715683.22,1681303661903.22,1370490053780,198636481733.02,318905580237.86,94424036156.65,569271293388.19,114188406970.96,229088108328.57,156789755087.97
"2018-05",3065338921683.44,3065338921683.44,1690804959259.07,1374533962424.37,200908207874.49,322017223601.48,95925041043.34,572244123370.73,113723680574.81,227962861995.57,158023820798.65
"2018-06",3083265075672.75,3083265075672.75,1699727412030,1383537663642.75,200719873785.2,324183763874.29,97173018289.98,575643292985.63,114946223362.74,228241564755.66,158819674976.5
"2018-07",3078263414710.08,3078263414710.08,1708494429353.22,1369768985356.86,206063965492.72,326223321596.84,97719177260,578526957664.87,114563983124.42,225448980298.54,159948043915.83
"2018-08",3113133693809.22,3113133693809.22,1729201634051.66,1383932059757.56,209424202680.4,329214196538.11,99347334992.38,582142001046.22,116320575533.61,230477350092.17,162275973168.77
"2018-09",3126446170983.94,3126446170983.94,1736438101408.87,1390008069575.07,206020677309,331045273445.28,100859002255.58,585427139453.33,115578699585.18,233607301858.7,163900007501.8
"2018-10",3125169651292.67,3125169651292.67,1755573183291.63,1369596468001.04,212250961075.58,333855276030.66,102743228998.75,588444981124.46,116786706685.07,235523288013.93,165968741363.18
"2018-11",3163587281558.7,3163587281558.7,1782904924296.85,1380682357261.85,226621062282.19,335815556601.73,104190719421.83,593291196596.93,116083148174.79,238196006761.9,168707234457.48
"2018-12",3208157195811.62,3208157195811.62,1801449346290.45,1406707849521.17,235154516651.01,337046876261.91,104536072833.24,596023151722.8,115839163636.06,241416626695.98,171432938489.45
"2019-01",3184145162605.54,3184145162605.54,1810917032278.36,1373228130327.18,234834839775.18,340059873113.69,107178648070.78,595993184033.79,112685333045.75,246262326438.27,173902827800.9
"2019-02",3192738588699.22,3192738588699.22,1819517096386.03,1373221492313.19,228940122749.79,343808073527.76,109099664649.55,599751450545.91,114585392267.14,247318207364.26,176014185281.62
"2019-03",3218612556823.73,3218612556823.73,1834158356668.39,1384454200155.34,230327507486.33,347312700848.54,111296669465.7,602728877147.13,116136325866.69,248627918237.4,177728357616.6
"2019-04",3220651800371.62,3220651800371.62,1850039613487.56,1370612186884.06,234090319332.5,351100443420.79,113109185017.33,604942396052.33,118566414000.61,248162265550.24,180068590113.76
"2019-05",3240749998766.54,3240749998766.54,1868955722759.36,1371794276007.18,240555852849.1,355510978840.25,115822283327.04,607722961850.39,120196639146.93,246417457641.46,182729549104.19
"2019-06",3250502509738.88,3250502509738.88,1881218821889.41,1369283687849.47,239596906151.13,358981405805.79,117725772415.71,611856702959.57,121854309185.87,246143200304.5,185060525066.84
"2019-07",3246273737138.8,3246273737138.8,1897658900642.71,1348614836496.09,248388924383.86,363577418166.32,118651934277.2,614905302260.86,123099002746.91,241791570841.76,187244747965.8
"2019-08",3286025128984.21,3286025128984.21,1920637029693.59,1365388099290.62,251176957373.68,367790116468.17,120540774067.04,616995516857.46,125560154993.47,247950110705.32,190623399228.45
"2019-09",3322213205768.66,3322213205768.66,1941007131164.42,1381206074604.24,253986210370.51,371988953486.05,121592995957.5,622482661205.49,126034628495.15,251496618809.38,193425062840.34
"2019-10",3333178548095.35,3333178548095.35,1964399055178.52,1368779492916.83,258561399066.72,376813502721.32,123736583852.17,627098085536.03,126878898161.12,254349144482.83,196961441358.33
"2019-11",3377484360390.58,3377484360390.58,1990210987712.86,1387273372677.72,265427766934.21,381038125041.35,125443837731.09,632598835535.66,127811237109.29,257219992725.67,200671192635.59
"2019-12",3424967134788.45,3424967134788.45,2017067680562.49,1407899454225.96,277961659128.17,383662730533.59,125461198221.13,637061514951.91,127481248071.88,261072242679.53,204367086976.28
"2020-01",3417397383312.39,3417397383312.39,2034954271199.52,1382443112112.87,277729375452.99,388418610768.99,127946776741.65,638686923684.02,131011193558.61,263455554313.84,207705836679.42
"2020-02",3436049549284.25,3436049549284.25,2042906698717.27,1393142850566.98,269526706710.14,393092756440.91,129616381592.84,642025718407.73,133926007422.45,265090776858.7,209628351284.5
"2020-03",3525717401071.25,3525717401071.25,2049443100278.19,1476274300793.06,260792286248.02,396751451806.53,130847948683.98,646171853691.99,138111620336.81,266817480648.65,209950458862.21
"2020-04",3536362986269.86,3536362986269.86,2028530393603.04,1507832592666.82,236336112555.78,397305265577.85,129087817453.98,652352405837.26,141155844037.02,265496484688.72,206796463452.43
"2020-05",3550032190547.7,3550032190547.7,2026400973265.63,1523631217282.07,231010645660.28,397666215351.47,128303996819.49,658623800204.34,141851643122.67,263541074858.94,205403597248.44
"2020-06",3582353891537.78,3582353891537.78,2039708471603.45,1542645419934.33,234581391641.47,399926028033.51,127684935932.07,664903201188.32,144087476627.04,262957968595.2,205567469585.84
"2020-07",3628953993892.68,3628953993892.68,2060358663961.04,1568595329931.64,241626637510.74,404180896910.41,128711474854.44,672312694018.84,143169123228.46,263705405588.98,206652431849.17
"2020-08",3698972201334.65,3698972201334.65,2093921327688.08,1605050873646.57,249756682705.81,409460208379.93,129086063701.85,680558489687.22,146002282379.99,270484755286.22,208572845547.06
"2020-09",3776205858441.4,3776205858441.4,2123214607021.76,1652991251419.64,254714253509.52,414502532320.67,131847088166.95,688173975180.77,146711835220.63,276154958674.81,211109963948.41
"2020-10",3838196871825.19,3838196871825.19,2163798728036.09,1674398143789.1,261901297136.57,425058575464.53,135737551294.12,696230243601.13,148320166352.12,282409365838.95,214141528348.67
"2020-11",3921385743069.18,3921385743069.18,2210874859249.13,1710510883820.05,279302917143.61,434634044955.17,139928775066.9,704441497871.16,148413621407.32,286429466203.6,217724536601.37
"2020-12",3979871453538.06,3979871453538.06,2244442540183.04,1735428913355.02,285515616199.17,440350840329.95,142442888085.66,713237837042.06,148462592505.37,292465983892.28,221966782128.55
"2021-01",3983025800535.92,3983025800535.92,2260037609913.81,1722988190622.11,280254503727.94,444085371693.49,146512075985.89,718848505866.98,150312584440.23,296391764859.27,223632803340.01
"2021-02",4010098674544.14,4010098674544.14,2279123339557.06,1730975334987.08,277094189658.62,448017976974.14,150237066741.08,726178462049.19,151832750384.31,300030507236.14,225732386513.58
"2021-03",4068533127119.14,4068533127119.14,2306194758549.41,1762338368569.73,278774462736.07,452737961437.84,154796308462.47,735338486533.52,153327421468.38,305137672256.73,226082445654.4
"2021-04",4093128753738.91,4093128753738.91,2332805051244.45,1760323702494.46,281347267489.45,462647291823.25,158904710078.74,744013806208.15,151751626327.5,306895059665.02,227245289652.34
"2021-05",4138692893781.42,4138692893781.42,2373390112101.87,1765302781679.55,296169197518.24,471614259883.94,162189605943.82,753683013469.52,151506774236.45,309494151720.29,228733109329.61
"2021-06",4181429064031.48,4181429064031.48,2410058712310.13,1771370351721.35,303778162538.56,479578755916.42,167240390021.56,763109994166.66,151162786792.88,315257380244.09,229931242629.96
"2021-07",4241440787786.9,4241440787786.9,2454567501600,1786873286186.9,313277443486.47,486442802547.62,173178203193.08,773110131104.46,153943449117.72,322963067643.79,231652404506.86
"2021-08",4311822496398.04,4311822496398.04,2512510952290.58,1799311544107.46,326536411161.73,493780313475.71,180034734195.34,784242999073.39,158032590459.21,335178758203.42,234705145721.78
"2021-09",4404346348670.21,4404346348670.21,2565033604770.44,1839312743899.77,336509746761.22,500528862650.54,187607663976.08,793962531326,163597543322.95,345507634905.34,237319621828.31
"2021-10",4468379441760.68,4468379441760.68,2617047730032.45,1851331711728.23,350194081982.91,506012558339.53,194843054056.44,803182129844.5,164889245802.79,358085932448.44,239840727557.84
"2021-11",4544677588098.71,4544677588098.71,2677712951082.56,1866964637016.15,376879792877.18,511240031416.69,200442609443.7,812348980908.75,168417303455.48,367771417043.64,240612815937.12
"2021-12",4631435688532.43,4631435688532.43,2723761742192.36,1907673946340.07,391635760327.13,515467243114.57,204099094839.89,821495165918.37,168373216883.92,379689129523,243002131585.48
