"Data","Brasil - Todas","Brasil - Todas"
"2012-06",2111737108517.38,2111737108517.38
"2012-07",2128152067673.8,2128152067673.8
"2012-08",2155896677152.59,2155896677152.59
"2012-09",2180580262698.75,2180580262698.75
"2012-10",2211479471972.76,2211479471972.76
"2012-11",2243871443366.7,2243871443366.7
"2012-12",2298946648400.42,2298946648400.42
"2013-01",2297393565588.82,2297393565588.82
"2013-02",2314440660025.89,2314440660025.89
"2013-03",2346952395081.88,2346952395081.88
"2013-04",2370471625684.07,2370471625684.07
"2013-05",2406907354534.73,2406907354534.73
"2013-06",2453085351863.12,2453085351863.12
"2013-07",2464904936081.62,2464904936081.62
"2013-08",2493712596877.17,2493712596877.17
"2013-09",2519134229458.36,2519134229458.36
"2013-10",2536224877515.26,2536224877515.26
"2013-11",2579533701787.85,2579533701787.85
"2013-12",2643797012503.18,2643797012503.18
"2014-01",2646625556025.77,2646625556025.77
"2014-02",2667365864479.73,2667365864479.73
"2014-03",2689388345119.39,2689388345119.39
"2014-04",2719751357262.31,2719751357262.31
"2014-05",2748582124680.89,2748582124680.89
"2014-06",2779466622800.55,2779466622800.55
"2014-07",2785550290803.81,2785550290803.81
"2014-08",2814397101996.21,2814397101996.21
"2014-09",2846165123076.65,2846165123076.65
"2014-10",2874178658101.14,2874178658101.14
"2014-11",2912779846484.73,2912779846484.73
"2014-12",2972181820402.86,2972181820402.86
"2015-01",2971722292736.73,2971722292736.73
"2015-02",2980486973242.22,2980486973242.22
"2015-03",3011357562640.97,3011357562640.97
"2015-04",3014922007846.74,3014922007846.74
"2015-05",3034677994483.57,3034677994483.57
"2015-06",3050419025723.88,3050419025723.88
"2015-07",3056906345113.68,3056906345113.68
"2015-08",3082376984711.14,3082376984711.14
"2015-09",3108642947125.45,3108642947125.45
"2015-10",3103057174975.56,3103057174975.56
"2015-11",3124843797584.8,3124843797584.8
"2015-12",3167724092412.46,3167724092412.46
"2016-01",3147202734159.11,3147202734159.11
"2016-02",3136288543095.64,3136288543095.64
"2016-03",3116961641258.9,3116961641258.9
"2016-04",3102575701345.59,3102575701345.59
"2016-05",3101708749042.65,3101708749042.65
"2016-06",3110449158036.67,3110449158036.67
"2016-07",3097757064568.45,3097757064568.45
"2016-08",3097618186960.23,3097618186960.23
"2016-09",3093640729800.07,3093640729800.07
"2016-10",3079107519630.5,3079107519630.5
"2016-11",3083039787319.82,3083039787319.82
"2016-12",3080454665422.85,3080454665422.85
"2017-01",3053938250097.78,3053938250097.78
"2017-02",3054155398328.97,3054155398328.97
"2017-03",3058914381271.63,3058914381271.63
"2017-04",3050518427582.15,3050518427582.15
"2017-05",3048029537090.81,3048029537090.81
"2017-06",3054374643338.1,3054374643338.1
"2017-07",3017883942681.72,3017883942681.72
"2017-08",3018254400764.11,3018254400764.11
"2017-09",3017206040652.4,3017206040652.4
"2017-10",3018860132642.78,3018860132642.78
"2017-11",3031476982678.04,3031476982678.04
"2017-12",3050031314416.55,3050031314416.55
"2018-01",3028931162783.09,3028931162783.09
"2018-02",3024115369689.88,3024115369689.88
"2018-03",3044200410095.67,3044200410095.67
"2018-04",3051793715683.22,3051793715683.22
"2018-05",3065338921683.44,3065338921683.44
"2018-06",3083265075672.75,3083265075672.75
"2018-07",3078263414710.08,3078263414710.08
"2018-08",3113133693809.22,3113133693809.22
"2018-09",3126446170983.94,3126446170983.94
"2018-10",3125169651292.67,3125169651292.67
"2018-11",3163587281558.7,3163587281558.7
"2018-12",3208157195811.62,3208157195811.62
"2019-01",3184145162605.54,3184145162605.54
"2019-02",3192738588699.22,3192738588699.22
"2019-03",3218612556823.73,3218612556823.73
"2019-04",3220651800371.62,3220651800371.62
"2019-05",3240749998766.54,3240749998766.54
"2019-06",3250502509738.88,3250502509738.88
"2019-07",3246273737138.8,3246273737138.8
"2019-08",3286025128984.21,3286025128984.21
"2019-09",3322213205768.66,3322213205768.66
"2019-10",3333178548095.35,3333178548095.35
"2019-11",3377484360390.58,3377484360390.58
"2019-12",3424967134788.45,3424967134788.45
"2020-01",3417397383312.39,3417397383312.39
"2020-02",3436049549284.25,3436049549284.25
"2020-03",3525717401071.25,3525717401071.25
"2020-04",3536362986269.86,3536362986269.86
"2020-05",3550032190547.7,3550032190547.7
"2020-06",3582353891537.78,3582353891537.78
"2020-07",3628953993892.68,3628953993892.68
"2020-08",3698972201334.65,3698972201334.65
"2020-09",3776205858441.4,3776205858441.4
"2020-10",3838196871825.19,3838196871825.19
"2020-11",3921385743069.18,3921385743069.18
"2020-12",3979871453538.06,3979871453538.06
"2021-01",3983025800535.92,3983025800535.92
"2021-02",4010098674544.14,4010098674544.14
