"Data","Brasil - Todas","Brasil - Todas","Brasil - PF - Todas","Brasil - PJ - Todas"
"2012-06",2111737108517.38,2111737108517.38,957469781513.01,1154267327004.37
"2012-07",2128152067673.8,2128152067673.8,969191679628.35,1158960388045.45
"2012-08",2155896677152.59,2155896677152.59,987096544935.78,1168800132216.81
"2012-09",2180580262698.75,2180580262698.75,992574296127.61,1188005966571.14
"2012-10",2211479471972.76,2211479471972.76,1009067147000.08,1202412324972.68
"2012-11",2243871443366.7,2243871443366.7,1024010789631.76,1219860653734.94
"2012-12",2298946648400.42,2298946648400.42,1042866611681.58,1256080036718.84
"2013-01",2297393565588.82,2297393565588.82,1053883732536.58,1243509833052.24
"2013-02",2314440660025.89,2314440660025.89,1059349148468.07,1255091511557.82
"2013-03",2346952395081.88,2346952395081.88,1072275344655.91,1274677050425.97
"2013-04",2370471625684.07,2370471625684.07,1088554411726.51,1281917213957.56
"2013-05",2406907354534.73,2406907354534.73,1107335160331.74,1299572194202.99
"2013-06",2453085351863.12,2453085351863.12,1123205758680.64,1329879593182.48
"2013-07",2464904936081.62,2464904936081.62,1136338962759.86,1328565973321.76
"2013-08",2493712596877.17,2493712596877.17,1150396846098.75,1343315750778.42
"2013-09",2519134229458.36,2519134229458.36,1164426302393.74,1354707927064.62
"2013-10",2536224877515.26,2536224877515.26,1176106446285.75,1360118431229.51
"2013-11",2579533701787.85,2579533701787.85,1192354642336.62,1387179059451.23
"2013-12",2643797012503.18,2643797012503.18,1215274071624.28,1428522940878.9
"2014-01",2646625556025.77,2646625556025.77,1227778884009.12,1418846672016.65
"2014-02",2667365864479.73,2667365864479.73,1237267371844.01,1430098492635.72
"2014-03",2689388345119.39,2689388345119.39,1245068068712.64,1444320276406.75
"2014-04",2719751357262.31,2719751357262.31,1262049329853.65,1457702027408.66
"2014-05",2748582124680.89,2748582124680.89,1278876175006.44,1469705949674.45
"2014-06",2779466622800.55,2779466622800.55,1293771347084.07,1485695275716.48
"2014-07",2785550290803.81,2785550290803.81,1301738494765.49,1483811796038.32
"2014-08",2814397101996.21,2814397101996.21,1317302646311.66,1497094455684.55
"2014-09",2846165123076.65,2846165123076.65,1328165370454.22,1517999752622.43
"2014-10",2874178658101.14,2874178658101.14,1346546170946.94,1527632487154.2
"2014-11",2912779846484.73,2912779846484.73,1361688603557.6,1551091242927.13
"2014-12",2972181820402.86,2972181820402.86,1386232128218.7,1585949692184.16
"2015-01",2971722292736.73,2971722292736.73,1397119635464.09,1574602657272.64
"2015-02",2980486973242.22,2980486973242.22,1399272232415.7,1581214740826.52
"2015-03",3011357562640.97,3011357562640.97,1410976043592.87,1600381519048.1
