"Data","Brasil - Todas","Brasil - Todas","Brasil - PF - Todas"
"2012-06",3.47,3.47,5.01
"2012-07",3.51,3.51,5.03
"2012-08",3.5,3.5,4.96
"2012-09",3.39,3.39,4.87
"2012-10",3.42,3.42,4.81
"2012-11",3.34,3.34,4.7
"2012-12",3.27,3.27,4.63
"2013-01",3.3,3.3,4.58
"2013-02",3.32,3.32,4.56
"2013-03",3.23,3.23,4.56
"2013-04",3.22,3.22,4.44
"2013-05",3.2,3.2,4.44
"2013-06",3.02,3.02,4.24
"2013-07",3,3,4.17
"2013-08",2.91,2.91,4.05
"2013-09",2.89,2.89,4.03
"2013-10",2.87,2.87,3.96
"2013-11",2.83,2.83,3.86
"2013-12",2.68,2.68,3.75
"2014-01",2.69,2.69,3.73
"2014-02",2.7,2.7,3.73
"2014-03",2.7,2.7,3.75
"2014-04",2.72,2.72,3.76
"2014-05",2.8,2.8,3.79
"2014-06",2.74,2.74,3.73
"2014-07",2.77,2.77,3.75
"2014-08",2.84,2.84,3.79
"2014-09",2.74,2.74,3.63
"2014-10",2.77,2.77,3.65
"2014-11",2.7,2.7,3.58
"2014-12",2.56,2.56,3.37
"2015-01",2.66,2.66,3.48
"2015-02",2.73,2.73,3.56
"2015-03",2.7,2.7,3.44
"2015-04",2.79,2.79,3.49
"2015-05",2.86,2.86,3.58
"2015-06",2.75,2.75,3.43
"2015-07",2.85,2.85,3.55
"2015-08",2.98,2.98,3.66
"2015-09",2.97,2.97,3.73
"2015-10",3.06,3.06,3.85
"2015-11",3.18,3.18,3.97
"2015-12",3.12,3.12,3.96
"2016-01",3.22,3.22,4.04
"2016-02",3.33,3.33,4.11
"2016-03",3.32,3.32,4.03
"2016-04",3.51,3.51,4.14
"2016-05",3.55,3.55,4.13
"2016-06",3.4,3.4,3.99
"2016-07",3.47,3.47,4.07
"2016-08",3.55,3.55,4.04
"2016-09",3.57,3.57,4.06
"2016-10",3.73,3.73,4.08
"2016-11",3.6,3.6,4.01
"2016-12",3.5,3.5,3.87
"2017-01",3.52,3.52,3.91
"2017-02",3.64,3.64,3.94
"2017-03",3.76,3.76,3.93
"2017-04",3.84,3.84,3.98
"2017-05",3.97,3.97,3.99
"2017-06",3.56,3.56,3.68
"2017-07",3.56,3.56,3.79
"2017-08",3.55,3.55,3.77
"2017-09",3.46,3.46,3.73
"2017-10",3.52,3.52,3.72
"2017-11",3.47,3.47,3.64
"2017-12",3.2,3.2,3.45
"2018-01",3.39,3.39,3.64
"2018-02",3.4,3.4,3.63
"2018-03",3.29,3.29,3.57
"2018-04",3.26,3.26,3.55
"2018-05",3.28,3.28,3.53
"2018-06",3.02,3.02,3.41
"2018-07",2.98,2.98,3.42
"2018-08",2.98,2.98,3.36
"2018-09",2.99,2.99,3.35
"2018-10",2.97,2.97,3.3
"2018-11",2.89,2.89,3.22
"2018-12",2.77,2.77,3.17
"2019-01",2.86,2.86,3.26
"2019-02",2.81,2.81,3.22
"2019-03",2.86,2.86,3.3
"2019-04",2.88,2.88,3.28
"2019-05",2.92,2.92,3.33
"2019-06",2.86,2.86,3.26
"2019-07",2.96,2.96,3.36
"2019-08",2.98,2.98,3.4
"2019-09",2.97,2.97,3.46
"2019-10",2.94,2.94,3.44
"2019-11",2.91,2.91,3.44
"2019-12",2.83,2.83,3.41
"2020-01",2.95,2.95,3.54
"2020-02",2.97,2.97,3.58
"2020-03",3.17,3.17,3.89
"2020-04",3.25,3.25,4.02
"2020-05",3.2,3.2,3.93
"2020-06",2.83,2.83,3.53
"2020-07",2.67,2.67,3.39
"2020-08",2.55,2.55,3.19
"2020-09",2.29,2.29,2.96
"2020-10",2.21,2.21,2.85
"2020-11",2.11,2.11,2.81
"2020-12",2.01,2.01,2.7
"2021-01",2.06,2.06,2.75
"2021-02",2.16,2.16,2.8
"2021-03",2.08,2.08,2.76
"2021-04",2.14,2.14,2.8
"2021-05",2.27,2.27,2.87
"2021-06",2.2,2.2,2.78
"2021-07",2.26,2.26,2.83
"2021-08",2.2,2.2,2.84
"2021-09",2.21,2.21,2.84
"2021-10",2.23,2.23,2.86
"2021-11",2.27,2.27,2.9
"2021-12",2.25,2.25,2.92
"2022-01",2.41,2.41,3.15
"2022-02",2.49,2.49,3.29
"2022-03",2.51,2.51,3.34
"2022-04",2.58,2.58,3.42
"2022-05",2.65,2.65,3.53
"2022-06",2.56,2.56,3.45
"2022-07",2.7,2.7,3.6
"2022-08",2.76,2.76,3.66
"2022-09",2.78,2.78,3.69
"2022-10",2.9,2.9,3.8
"2022-11",2.92,2.92,3.81
"2022-12",2.94,2.94,3.83
"2023-01",3.12,3.12,3.99
"2023-02",3.26,3.26,4.07
"2023-03",3.23,3.23,4.01
"2023-04",3.43,3.43,4.15
"2023-05",3.55,3.55,4.25
"2023-06",3.46,3.46,4.1
"2023-07",3.53,3.53,4.14
"2023-08",3.51,3.51,4.06
"2023-09",3.43,3.43,3.95
"2023-10",3.43,3.43,3.88
"2023-11",3.31,3.31,3.76
"2023-12",3.15,3.15,3.67
"2024-01",3.23,3.23,3.7
"2024-02",3.23,3.23,3.68
"2024-03",3.19,3.19,3.65
"2024-04",3.21,3.21,3.68
"2024-05",3.27,3.27,3.74
"2024-06",3.17,3.17,3.67
"2024-07",3.2,3.2,3.74
"2024-08",3.22,3.22,3.78
"2024-09",3.21,3.21,3.75
"2024-10",3.17,3.17,3.69
"2024-11",3.13,3.13,3.66
"2024-12",3.05,3.05,3.62
"2025-01",3.35,3.35,3.93
"2025-02",3.47,3.47,4.04
"2025-03",3.47,3.47,4.06
"2025-04",3.71,3.71,4.28
"2025-05",3.79,3.79,4.42
"2025-06",3.82,3.82,4.47
