"Data","Brasil - Todas","Brasil - Todas"
"2012-06",3.47,3.47
"2012-07",3.51,3.51
"2012-08",3.5,3.5
"2012-09",3.39,3.39
"2012-10",3.42,3.42
"2012-11",3.34,3.34
"2012-12",3.27,3.27
"2013-01",3.3,3.3
"2013-02",3.32,3.32
"2013-03",3.23,3.23
"2013-04",3.22,3.22
"2013-05",3.2,3.2
"2013-06",3.02,3.02
"2013-07",3,3
"2013-08",2.91,2.91
"2013-09",2.89,2.89
"2013-10",2.87,2.87
"2013-11",2.83,2.83
"2013-12",2.68,2.68
"2014-01",2.69,2.69
"2014-02",2.7,2.7
"2014-03",2.7,2.7
"2014-04",2.72,2.72
"2014-05",2.8,2.8
"2014-06",2.74,2.74
"2014-07",2.77,2.77
"2014-08",2.84,2.84
"2014-09",2.74,2.74
"2014-10",2.77,2.77
"2014-11",2.7,2.7
"2014-12",2.56,2.56
"2015-01",2.66,2.66
"2015-02",2.73,2.73
"2015-03",2.7,2.7
"2015-04",2.79,2.79
"2015-05",2.86,2.86
"2015-06",2.75,2.75
"2015-07",2.85,2.85
"2015-08",2.98,2.98
"2015-09",2.97,2.97
"2015-10",3.06,3.06
"2015-11",3.18,3.18
"2015-12",3.12,3.12
"2016-01",3.22,3.22
"2016-02",3.33,3.33
"2016-03",3.32,3.32
"2016-04",3.51,3.51
"2016-05",3.55,3.55
"2016-06",3.4,3.4
"2016-07",3.47,3.47
"2016-08",3.55,3.55
"2016-09",3.57,3.57
"2016-10",3.73,3.73
"2016-11",3.6,3.6
"2016-12",3.5,3.5
"2017-01",3.52,3.52
"2017-02",3.64,3.64
"2017-03",3.76,3.76
"2017-04",3.84,3.84
"2017-05",3.97,3.97
"2017-06",3.56,3.56
"2017-07",3.56,3.56
"2017-08",3.55,3.55
"2017-09",3.46,3.46
"2017-10",3.52,3.52
"2017-11",3.47,3.47
"2017-12",3.2,3.2
"2018-01",3.39,3.39
"2018-02",3.4,3.4
"2018-03",3.29,3.29
"2018-04",3.26,3.26
"2018-05",3.28,3.28
"2018-06",3.02,3.02
"2018-07",2.98,2.98
"2018-08",2.98,2.98
"2018-09",2.99,2.99
"2018-10",2.97,2.97
"2018-11",2.89,2.89
"2018-12",2.77,2.77
"2019-01",2.86,2.86
"2019-02",2.81,2.81
"2019-03",2.86,2.86
"2019-04",2.88,2.88
"2019-05",2.92,2.92
"2019-06",2.86,2.86
"2019-07",2.96,2.96
"2019-08",2.98,2.98
"2019-09",2.97,2.97
"2019-10",2.94,2.94
"2019-11",2.91,2.91
"2019-12",2.83,2.83
"2020-01",2.95,2.95
"2020-02",2.97,2.97
"2020-03",3.17,3.17
"2020-04",3.25,3.25
"2020-05",3.2,3.2
"2020-06",2.83,2.83
"2020-07",2.67,2.67
"2020-08",2.55,2.55
"2020-09",2.29,2.29
"2020-10",2.21,2.21
"2020-11",2.11,2.11
"2020-12",2.01,2.01
"2021-01",2.06,2.06
"2021-02",2.16,2.16
"2021-03",2.08,2.08
"2021-04",2.14,2.14
"2021-05",2.27,2.27
"2021-06",2.2,2.2
"2021-07",2.26,2.26
"2021-08",2.2,2.2
"2021-09",2.21,2.21
"2021-10",2.23,2.23
"2021-11",2.27,2.27
"2021-12",2.25,2.25
"2022-01",2.41,2.41
"2022-02",2.49,2.49
"2022-03",2.51,2.51
"2022-04",2.58,2.58
"2022-05",2.65,2.65
"2022-06",2.56,2.56
"2022-07",2.7,2.7
"2022-08",2.76,2.76
"2022-09",2.78,2.78
"2022-10",2.9,2.9
"2022-11",2.92,2.92
"2022-12",2.94,2.94
"2023-01",3.12,3.12
"2023-02",3.26,3.26
"2023-03",3.23,3.23
"2023-04",3.43,3.43
"2023-05",3.55,3.55
"2023-06",3.46,3.46
"2023-07",3.53,3.53
"2023-08",3.51,3.51
"2023-09",3.43,3.43
"2023-10",3.43,3.43
"2023-11",3.31,3.31
"2023-12",3.15,3.15
"2024-01",3.23,3.23
"2024-02",3.23,3.23
"2024-03",3.19,3.19
"2024-04",3.21,3.21
"2024-05",3.27,3.27
"2024-06",3.17,3.17
"2024-07",3.2,3.2
"2024-08",3.22,3.22
"2024-09",3.21,3.21
"2024-10",3.17,3.17
"2024-11",3.13,3.13
"2024-12",3.05,3.05
"2025-01",3.35,3.35
"2025-02",3.47,3.47
"2025-03",3.47,3.47
"2025-04",3.71,3.71
"2025-05",3.79,3.79
"2025-06",3.82,3.82
