month,api_adiantamento_depositantes,api_canais_atendimentos,api_cartao_credito,api_contas,api_credenciamento,api_cambio,api_direitos_creditorios,api_emprestimos,api_financiamentos,api_investimentos,api_previdencia,api_produtos_servicos,api_seguros,api_titulos_capitalizacao,api_total,api_credit
2023-11-30,,323903,,,,0,,,,7,0,599225.0,0,0,923135.0,0.0
2023-12-31,,2614046,,,8737.0,58624,,,,166842,8378,4612101.0,4766,2366,7475860.0,0.0
2024-01-31,,4035457,,,16417.0,115288,,,,314111,14865,7020663.0,8136,3739,11528676.0,0.0
2024-02-29,,4195894,,,17150.0,161212,,,,346519,16693,7123682.0,9555,7095,11877800.0,0.0
2024-03-31,2899.0,5932027,17145.0,17903.0,20721.0,174127,14329.0,17903.0,28100.0,427149,20835,9856541.0,11929,7147,16548755.0,77477.0
2024-04-30,23377.0,5980089,97764.0,88801.0,18063.0,123176,86758.0,76033.0,162905.0,219044,18686,9462457.0,12059,6439,16375651.0,423460.0
2024-05-31,29396.0,5361706,94063.0,44415.0,13170.0,104934,90628.0,,165975.0,283218,8392,9124673.0,6205,2179,15328954.0,350666.0
2024-06-30,12780.0,1019074,73100.0,35919.0,7225.0,50972,42148.0,,87805.0,171024,3405,194185.0,4364,1033,1703034.0,203053.0
2024-07-31,24080.0,1454881,154222.0,78131.0,14630.0,152771,87428.0,,187634.0,352214,19323,269152.0,29044,6380,2829890.0,429284.0
2024-08-31,60418.0,1117867,225365.0,175278.0,24619.0,396307,135891.0,,266355.0,473601,27169,49350.0,38777,8317,2999314.0,627611.0
2024-09-30,39780.0,874039,144056.0,130631.0,16578.0,291804,88379.0,,165216.0,288384,20517,,30487,6305,2096176.0,397651.0
2024-10-31,32588.0,168487,139.0,68011.0,16210.0,70409,38653.0,56131.0,221.0,80311,18944,,17703,4339,572146.0,95144.0
2024-11-30,80706.0,418829,62200.0,62623.0,10614.0,90690,25176.0,178189.0,124795.0,121634,27043,,24320,4935,1231754.0,390360.0
2024-12-31,83843.0,391362,56142.0,64507.0,11694.0,132099,32072.0,173789.0,112178.0,131752,26952,,28124,4206,1248720.0,374181.0
2025-01-31,92821.0,452874,70237.0,64409.0,14015.0,142642,27897.0,198614.0,140200.0,140846,30559,,31616,5087,1411817.0,436948.0
2025-02-28,79355.0,387294,56192.0,60016.0,11008.0,103809,30167.0,175787.0,112177.0,136007,25509,,26110,4082,1207513.0,374323.0
2025-03-31,67178.0,398314,52152.0,40275.0,10693.0,126020,19015.0,143877.0,104177.0,105234,23071,,22724,3999,1116729.0,319221.0
2025-04-30,82254.0,395024,56169.0,65072.0,10284.0,110273,19617.0,152785.0,112188.0,102545,21995,,22141,3684,1154031.0,340759.0
2025-05-31,129943.0,486721,70202.0,88977.0,14584.0,190990,29201.0,204485.0,140225.0,184887,34042,,34138,5305,1613700.0,444113.0
2025-06-30,73522.0,263797,28117.0,67917.0,10991.0,128677,21322.0,104047.0,56159.0,170509,26015,,25578,4126,980777.0,209645.0
2025-07-31,112897.0,407478,56074.0,57570.0,14656.0,302591,26757.0,174266.0,115187.0,211886,28064,,28591,4176,1540193.0,372284.0
2025-08-31,148603.0,691475,70062.0,76568.0,24531.0,896445,31434.0,232412.0,154424.0,266382,33103,,34694,5286,2665419.0,488332.0
2025-09-30,117210.0,525387,56063.0,67610.0,16280.0,758158,31133.0,193630.0,125152.0,289866,32142,,26167,2849,2241647.0,405978.0
2025-10-31,158446.0,738564,70204.0,86888.0,21741.0,246460,42859.0,248147.0,160309.0,451897,39350,,32993,4024,2301882.0,521519.0
2025-11-30,88782.0,594496,32057.0,57208.0,10021.0,220972,38809.0,106843.0,72872.0,203620,19228,,16900,2352,1464160.0,250581.0
2025-12-31,26540.0,298252,14034.0,15876.0,4207.0,75509,7467.0,48967.0,32030.0,66444,8847,,8970,1100,608243.0,102498.0
2026-01-31,94710.0,665113,48476.0,56277.0,13912.0,232457,28211.0,158659.0,109238.0,230077,28870,,25601,3103,1694704.0,344584.0
2026-02-28,134292.0,908634,62557.0,81455.0,15083.0,390667,56790.0,175588.0,125681.0,282128,25911,,23466,3738,2285990.0,420616.0
2026-03-31,93440.0,695073,63206.0,23215.0,9769.0,187242,11537.0,151659.0,119183.0,143863,12990,,10955,2773,1524905.0,345585.0
2026-04-30,20983.0,236162,14415.0,4285.0,2531.0,26873,3452.0,33915.0,26888.0,29321,2780,,2286,651,404542.0,78670.0
